,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
93,385197789,10.0,5,3820016483.0,68,51,CRMLAMPL,Printing + Manual,1.166,-1,0.0,"PL CR S112/PV1 915X915X20,0 NE",53,7.98,47,1,70003761,8.0,70001134,1.166,BL CR S112/000 915X915X152 NE,-1,-1,0
94,385197688,30.0,4,3820016479.0,53,45,CCSJATAG,Total,0.0,2304,0.0,"JT CR 1310/PT1 TSB-26 10,0 NE",53,873.3599999999999,53,2,71005271,131.0,70003710,66.0,"PL CR 1310/PT1 1270X1040X10,0 NE",-1,-1,0
95,385197536,30.0,4,3820016479.0,52,45,CCSEMBJT,Total,0.0,2304,0.0,"JT CR 1310/PT1 TSB-26 10,0 01",52,26.22,53,1,71005270,131.0,71005271,131.0,"JT CR 1310/PT1 TSB-26 10,0 NE",-1,-1,0
96,385197788,30.0,4,3820016479.0,53,45,CRMLAMPL,Printing + Manual,4.528,2304,0.0,"PL CR 1310/PT1 1270X1040X10,0 NE",53,74.7,47,1,70003710,66.0,70001568,4.528,BL CR 1310/000 1270X1040X152 NE,-1,-1,0
97,385197687,20.0,4,3820016479.0,53,45,CCSJATAG,Total,0.0,2304,0.0,"JT CR 1310/PT1 TSB-25 10,0 NE",53,1032.0,53,2,71005269,172.0,70003710,86.0,"PL CR 1310/PT1 1270X1040X10,0 NE",-1,-1,0
98,385197535,20.0,4,3820016479.0,52,45,CCSEMBJT,Total,0.0,2304,0.0,"JT CR 1310/PT1 TSB-25 10,0 01",52,34.379999999999995,53,1,71005268,172.0,71005269,172.0,"JT CR 1310/PT1 TSB-25 10,0 NE",-1,-1,0
99,385197787,20.0,4,3820016479.0,53,45,CRMLAMPL,Printing + Manual,5.9,2304,0.0,"PL CR 1310/PT1 1270X1040X10,0 NE",53,97.38,47,1,70003710,86.0,70001568,5.9,BL CR 1310/000 1270X1040X152 NE,-1,-1,0
100,385197686,10.0,4,3820016479.0,53,45,CCSJATAG,Total,0.0,2304,0.0,"JT CR 1310/PT1 TSB-24 10,0 NE",53,829.0799999999999,53,1,71005267,152.0,70003710,76.0,"PL CR 1310/PT1 1270X1040X10,0 NE",-1,-1,0
101,385197786,10.0,4,3820016479.0,53,45,CRMLAMPL,Printing + Manual,5.214,2304,0.0,"PL CR 1310/PT1 1270X1040X10,0 NE",53,86.03999999999999,47,1,70003710,76.0,70001568,5.214,BL CR 1310/000 1270X1040X152 NE,-1,-1,0
102,385197444,180.0,3,3820016475.0,47,47,CCSSECME,Total,0.0,2304,0.0,"PL CC 8405/S21 630X94X25,0 01",47,97.32000000000001,47,1,70000391,480.0,70000276,54.0,"PL CC 8405/S21 940X640X25,0 NE",-1,-1,0
103,385198334,180.0,3,3820016475.0,47,47,CNMLAMLX,Total,6.072,2304,0.0,"PL CC 8405/S21 940X640X25,0 NE",47,17.04,47,1,70000276,54.0,70005847,6.072,BL CC 8405/ORT 940X640X250 NE,-1,-1,0
