,Material,Componente,FI0,Quantidade componente,col_bmeng
6868,71001099,71000485,0.25,250.0,1000.0
6869,71001100,71000501,0.2,200.0,1000.0
6870,71001101,71000566,0.2,200.0,1000.0
6871,71001102,70008259,0.0014,1.4,1000.0
6872,71001103,70008249,0.001055,1.055,1000.0
6873,71001110,71000489,0.1,100.0,1000.0
6874,71001111,71000551,0.333334,333.334,1000.0
6875,71001113,70008204,0.0030870000000000003,3.087,1000.0
6876,71001114,70008203,0.004405999999999999,4.406,1000.0
6877,71001121,70008208,0.006030000000000001,6.03,1000.0
6878,71001122,70008207,0.008065,8.065,1000.0
6879,71001123,70003863,1.0,1000.0,1000.0
6880,71001126,70008151,0.0030800000000000003,3.08,1000.0
6881,71001127,70008146,0.00148,1.48,1000.0
6882,71001128,70008151,0.00294,2.94,1000.0
6883,71001129,70008150,0.00095,0.95,1000.0
6884,71001131,70008152,0.000457,0.457,1000.0
6885,71001133,70008148,0.0024100000000000002,2.41,1000.0
6886,71001136,70008147,0.00242,2.42,1000.0
6887,71001137,70008149,0.0009809999999999999,0.981,1000.0
6888,71001138,70008153,0.00259,2.59,1000.0
6889,71001141,71001295,0.25,250.0,1000.0
