,c,semana,quantidade
690,70000081,4,0.0
691,70000081,5,0.0
692,70000081,6,0.0
693,70000081,7,0.0
694,70000081,8,0.0
695,70000081,9,0.0
696,70000081,10,0.0
697,70000081,11,0.0
698,70000081,12,0.0
699,70000081,13,0.0
700,70000081,14,0.0
701,70000081,15,0.0
702,70000081,16,0.0
703,70000081,17,0.0
704,70000081,18,0.0
705,70000081,19,0.0
706,70000081,20,0.0
707,70000081,21,0.0
708,70000081,22,0.0
709,70000081,23,0.0
710,70000081,24,0.0
711,70000081,25,0.0
712,70000081,26,0.0
713,70000081,27,0.0
714,70000081,28,0.0
715,70000081,29,0.0
716,70000081,30,0.0
717,70000081,31,0.0
718,70000081,32,0.0
719,70000081,33,0.0
720,70000081,34,0.0
721,70000081,35,0.0
722,70000081,36,0.0
723,70000081,37,0.0
724,70000081,38,0.0
725,70000081,39,0.0
726,70000081,40,0.0
727,70000081,41,0.0
728,70000081,42,0.0
729,70000081,43,0.0
730,70000081,44,0.0
731,70000081,45,0.0
732,70000081,46,0.0
733,70000081,47,0.0
734,70000081,48,0.0
735,70000081,49,0.0
736,70000081,50,0.0
737,70000081,51,0.0
738,70000081,52,0.0
739,70000081,53,0.0
740,70000081,54,0.0
741,70000081,55,0.0
742,70000009,3,0.0
743,70000009,4,0.0
744,70000009,5,0.0
745,70000009,6,0.0
746,70000009,7,0.0
747,70000009,8,0.0
748,70000009,9,0.0
749,70000009,10,0.0
750,70000009,11,0.0
751,70000009,12,0.0
752,70000009,13,0.0
753,70000009,14,0.0
754,70000009,15,0.0
755,70000009,16,0.0
756,70000009,17,0.0
757,70000009,18,0.0
758,70000009,19,0.0
759,70000009,20,0.0
760,70000009,21,0.0
761,70000009,22,0.0
762,70000009,23,0.0
763,70000009,24,0.0
764,70000009,25,0.0
765,70000009,26,0.0
766,70000009,27,0.0
767,70000009,28,0.0
768,70000009,29,0.0
769,70000009,30,0.0
770,70000009,31,0.0
771,70000009,32,0.0
772,70000009,33,0.0
773,70000009,34,0.0
774,70000009,35,0.0
775,70000009,36,0.0
776,70000009,37,0.0
777,70000009,38,0.0
778,70000009,39,0.0
779,70000009,40,0.0
780,70000009,41,0.0
781,70000009,42,0.0
782,70000009,43,0.0
783,70000009,44,0.0
784,70000009,45,0.0
785,70000009,46,0.0
786,70000009,47,0.0
787,70000009,48,0.0
788,70000009,49,0.0
789,70000009,50,0.0
790,70000009,51,0.0
791,70000009,52,0.0
792,70000009,53,0.0
793,70000009,54,0.0
794,70000009,55,0.0
795,70001850,3,0.0
796,70001850,4,0.0
797,70001850,5,0.0
798,70001850,6,0.0
799,70001850,7,0.0
800,70001850,8,0.0
801,70001850,9,0.0
802,70001850,10,0.0
803,70001850,11,0.0
804,70001850,12,0.0
805,70001850,13,0.0
806,70001850,14,0.0
807,70001850,15,0.0
808,70001850,16,0.0
809,70001850,17,0.0
810,70001850,18,0.0
811,70001850,19,0.0
812,70001850,20,0.0
813,70001850,21,0.0
814,70001850,22,0.0
815,70001850,23,0.0
816,70001850,24,0.0
817,70001850,25,0.0
818,70001850,26,0.0
819,70001850,27,0.0
820,70001850,28,0.0
821,70001850,29,0.0
822,70001850,30,0.0
823,70001850,31,0.0
824,70001850,32,0.0
825,70001850,33,0.0
826,70001850,34,0.0
827,70001850,35,0.0
828,70001850,36,0.0
829,70001850,37,0.0
830,70001850,38,0.0
831,70001850,39,0.0
832,70001850,40,0.0
833,70001850,41,0.0
834,70001850,42,0.0
835,70001850,43,0.0
836,70001850,44,0.0
837,70001850,45,0.0
838,70001850,46,0.0
839,70001850,47,0.0
840,70001850,48,0.0
841,70001850,49,0.0
842,70001850,50,0.0
843,70001850,51,0.0
844,70001850,52,0.0
845,70001850,53,0.0
846,70001850,54,0.0
847,70001850,55,0.0
848,70004145,3,0.0
849,70004145,4,0.0
850,70004145,5,0.0
851,70004145,6,0.0
852,70004145,7,0.0
853,70004145,8,0.0
854,70004145,9,0.0
855,70004145,10,0.0
856,70004145,11,0.0
857,70004145,12,0.0
858,70004145,13,0.0
859,70004145,14,0.0
860,70004145,15,0.0
861,70004145,16,0.0
862,70004145,17,0.0
863,70004145,18,0.0
864,70004145,19,0.0
865,70004145,20,0.0
866,70004145,21,0.0
867,70004145,22,0.0
868,70004145,23,0.0
869,70004145,24,0.0
870,70004145,25,0.0
871,70004145,26,0.0
872,70004145,27,0.0
873,70004145,28,0.0
874,70004145,29,0.0
875,70004145,30,0.0
876,70004145,31,0.0
877,70004145,32,0.0
878,70004145,33,0.0
879,70004145,34,0.0
880,70004145,35,0.0
881,70004145,36,0.0
882,70004145,37,0.0
883,70004145,38,0.0
884,70004145,39,0.0
885,70004145,40,0.0
886,70004145,41,0.0
887,70004145,42,0.0
888,70004145,43,0.0
889,70004145,44,0.0
890,70004145,45,0.0
891,70004145,46,0.0
892,70004145,47,0.0
893,70004145,48,0.0
894,70004145,49,0.0
895,70004145,50,0.0
896,70004145,51,0.0
897,70004145,52,0.0
898,70004145,53,0.0
899,70004145,54,0.0
900,70004145,55,0.0
901,70000708,3,0.0
902,70000708,4,0.0
903,70000708,5,0.0
904,70000708,6,0.0
905,70000708,7,0.0
906,70000708,8,0.0
907,70000708,9,0.0
908,70000708,10,0.0
909,70000708,11,0.0
910,70000708,12,0.0
911,70000708,13,0.0
912,70000708,14,0.0
913,70000708,15,0.0
914,70000708,16,0.0
915,70000708,17,0.0
916,70000708,18,0.0
917,70000708,19,0.0
918,70000708,20,0.0
919,70000708,21,0.0
920,70000708,22,0.0
921,70000708,23,0.0
922,70000708,24,0.0
923,70000708,25,0.0
924,70000708,26,0.0
925,70000708,27,0.0
926,70000708,28,0.0
927,70000708,29,0.0
928,70000708,30,0.0
929,70000708,31,0.0
930,70000708,32,0.0
931,70000708,33,0.0
932,70000708,34,0.0
933,70000708,35,0.0
934,70000708,36,0.0
935,70000708,37,0.0
936,70000708,38,0.0
937,70000708,39,0.0
938,70000708,40,0.0
939,70000708,41,0.0
940,70000708,42,0.0
941,70000708,43,0.0
942,70000708,44,0.0
943,70000708,45,0.0
944,70000708,46,0.0
945,70000708,47,0.0
946,70000708,48,0.0
947,70000708,49,9.0
948,70000708,50,0.0
949,70000708,51,0.0
950,70000708,52,0.0
951,70000708,53,0.0
952,70000708,54,0.0
953,70000708,55,0.0
954,70001330,3,0.0
955,70001330,4,0.0
956,70001330,5,0.0
957,70001330,6,0.0
958,70001330,7,0.0
959,70001330,8,0.0
960,70001330,9,0.0
961,70001330,10,0.0
962,70001330,11,0.0
963,70001330,12,0.0
964,70001330,13,0.0
965,70001330,14,0.0
966,70001330,15,0.0
967,70001330,16,0.0
968,70001330,17,0.0
969,70001330,18,0.0
970,70001330,19,0.0
971,70001330,20,0.0
972,70001330,21,0.0
973,70001330,22,0.0
974,70001330,23,0.0
975,70001330,24,0.0
976,70001330,25,0.0
977,70001330,26,0.0
978,70001330,27,0.0
979,70001330,28,0.0
980,70001330,29,0.0
981,70001330,30,0.0
982,70001330,31,0.0
983,70001330,32,0.0
984,70001330,33,0.0
985,70001330,34,0.0
986,70001330,35,0.0
987,70001330,36,0.0
988,70001330,37,0.0
989,70001330,38,0.0
990,70001330,39,0.0
991,70001330,40,0.0
992,70001330,41,0.0
993,70001330,42,0.0
994,70001330,43,0.0
995,70001330,44,0.0
996,70001330,45,0.0
997,70001330,46,0.0
998,70001330,47,0.0
999,70001330,48,0.0
1000,70001330,49,0.0
1001,70001330,50,0.0
1002,70001330,51,0.0
1003,70001330,52,0.0
1004,70001330,53,0.0
1005,70001330,54,0.0
1006,70001330,55,0.0
1007,70005414,3,0.0
1008,70005414,4,0.0
1009,70005414,5,0.0
1010,70005414,6,0.0
1011,70005414,7,0.0
