,Ordem Venda / Transferência,data_substituir,semana
109,3820013815.0,2021-11-19,46
110,3820013826.0,2021-11-20,46
111,3820013866.0,2021-12-03,48
112,3820013871.0,2021-12-10,49
113,3820013892.0,2021-11-19,46
114,3820013893.0,2021-10-19,42
115,3820013907.0,2021-10-16,41
116,3820013917.0,2021-11-12,45
117,3820013941.0,2021-11-04,44
118,3820013945.0,2021-12-03,48
119,3820013952.0,2021-10-22,42
120,3820013964.0,2021-12-18,50
121,3820014012.0,2021-12-11,49
122,3820014022.0,2021-11-20,46
123,3820014029.0,2021-11-17,46
124,3820014042.0,2021-11-19,46
125,3820014067.0,2021-12-04,48
126,3820014086.0,2021-11-19,46
127,3820014121.0,2021-12-03,48
128,3820014126.0,2021-11-19,46
129,3820014131.0,2021-11-20,46
130,3820014133.0,2021-11-27,47
131,3820014142.0,2021-11-05,44
132,3820014144.0,2021-12-04,48
133,3820014145.0,2021-12-04,48
134,3820014148.0,2021-11-27,47
135,3820014149.0,2021-11-27,47
136,3820014154.0,2021-12-03,48
137,3820014159.0,2021-11-27,47
138,3820014164.0,2021-11-19,46
139,3820014165.0,2021-12-04,48
140,3820014189.0,2021-11-25,47
141,3820014195.0,2021-12-04,48
142,3820014198.0,2021-11-20,46
143,3820014199.0,2021-11-24,47
144,3820014203.0,2021-10-09,40
145,3820014207.0,2021-12-04,48
146,3820014208.0,2021-11-26,47
147,3820014216.0,2021-12-04,48
148,3820014249.0,2021-11-18,46
149,3820014253.0,2021-11-26,47
150,3820014283.0,2021-10-30,43
151,3820014292.0,2021-10-15,41
152,3820014295.0,2021-11-06,44
153,3820014298.0,2021-11-25,47
154,3820014302.0,2021-11-27,47
155,3820014303.0,2021-11-26,47
156,3820014322.0,2021-12-04,48
157,3820014335.0,2021-11-13,45
158,3820014355.0,2021-10-22,42
159,3820014367.0,2021-11-13,45
160,3820014381.0,2021-12-17,50
161,3820014383.0,2021-12-11,49
162,3820014385.0,2021-12-03,48
163,3820014386.0,2021-12-03,48
164,3820014405.0,2021-11-20,46
165,3820014406.0,2021-12-03,48
166,3820014408.0,2021-12-04,48
167,3820014409.0,2021-11-19,46
168,3820014413.0,2021-11-13,45
169,3820014418.0,2021-10-09,40
170,3820014424.0,2021-12-10,49
171,3820014433.0,2021-11-27,47
172,3820014473.0,2021-11-20,46
173,3820014477.0,2021-11-13,45
174,3820014522.0,2021-11-17,46
175,3820014523.0,2021-11-20,46
176,3820014525.0,2021-11-19,46
177,3820014526.0,2021-11-19,46
178,3820014527.0,2021-11-26,47
179,3820014553.0,2021-10-29,43
180,3820014554.0,2021-11-26,47
181,3820014571.0,2021-12-02,48
182,3820014575.0,2021-11-19,46
183,3820014595.0,2021-12-03,48
184,3820014599.0,2021-12-18,50
185,3820014608.0,2021-12-04,48
186,3820014613.0,2021-12-03,48
187,3820014614.0,2021-10-30,43
188,3820014617.0,2021-11-27,47
189,3820014620.0,2021-12-03,48
190,3820014623.0,2021-12-03,48
191,3820014624.0,2021-12-11,49
192,3820014635.0,2021-11-05,44
193,3820014637.0,2021-12-03,48
194,3820014638.0,2021-11-13,45
195,3820014649.0,2021-12-03,48
196,3820014655.0,2021-11-27,47
197,3820014684.0,2021-11-19,46
198,3820014693.0,2021-11-19,46
199,3820014694.0,2021-11-26,47
200,3820014695.0,2021-11-26,47
201,3820014696.0,2021-11-12,45
202,3820014701.0,2021-12-11,49
203,3820014704.0,2021-11-13,45
204,3820014737.0,2021-11-19,46
205,3820014739.0,2021-11-12,45
206,3820014740.0,2021-12-11,49
207,3820014744.0,2021-12-11,49
208,3820014760.0,2021-12-08,49
209,3820014761.0,2021-12-01,48
210,3820014763.0,2021-12-30,52
211,3820014807.0,2021-12-18,50
212,3820014821.0,2021-12-24,51
213,3820014823.0,2021-11-20,46
214,3820014843.0,2021-11-12,45
215,3820014846.0,2021-11-26,47
216,3820014861.0,2021-11-27,47
217,3820014873.0,2021-11-19,46
218,3820014904.0,2021-12-17,50
219,3820014908.0,2021-12-10,49
220,3820014931.0,2021-11-02,44
221,3820014933.0,2021-11-20,46
222,3820014934.0,2021-12-17,50
223,3820014950.0,2021-11-20,46
224,3820014975.0,2021-11-27,47
225,3820014979.0,2021-12-17,50
226,3820014981.0,2021-12-17,50
227,3820014988.0,2021-12-11,49
228,3820014993.0,2021-11-19,46
229,3820014995.0,2021-12-11,49
230,3820014996.0,2021-11-27,47
231,3820015007.0,2021-11-25,47
232,3820015010.0,2021-12-04,48
233,3820015015.0,2021-12-24,51
234,3820015016.0,2021-11-12,45
235,3820015020.0,2021-12-11,49
236,3820015021.0,2021-11-26,47
237,3820015023.0,2021-12-18,50
238,3820015024.0,2021-12-18,50
239,3820015030.0,2021-12-24,51
240,3820015033.0,2021-11-20,46
241,3820015039.0,2021-10-09,40
242,3820015040.0,2021-11-12,45
243,3820015067.0,2021-11-20,46
244,3820015068.0,2021-11-27,47
245,3820015070.0,2021-12-24,51
246,3820015082.0,2021-11-19,46
247,3820015098.0,2021-12-18,50
248,3820015102.0,2021-12-18,50
249,3820015105.0,2021-11-27,47
250,3820015107.0,2021-12-24,51
251,3820015113.0,2021-11-27,47
252,3820015115.0,2021-12-04,48
253,3820015117.0,2021-12-18,50
254,3820015120.0,2021-12-03,48
255,3820015122.0,2021-11-05,44
256,3820015123.0,2021-12-24,51
257,3820015124.0,2021-10-30,43
258,3820015141.0,2021-11-27,47
259,3820015145.0,2021-11-19,46
